academic_year,semester,course_code,course_name,completion_type,credits,recommended_year,department
2022,2,ADA208,"감염미생물학","전필",2.0,4,"약학과"
2023,2,ADA208,"감염미생물학","전필",2.0,4,"약학과"
2024,2,ADA208,"감염미생물학","전필",2.0,4,"약학과"
2022,2,ADA147,"감염성 질환 약물치료학","전필",2.0,5,"약학과"
2023,2,ADA147,"감염성 질환 약물치료학","전필",2.0,5,"약학과"
2024,2,ADA147,"감염성 질환 약물치료학","전필",2.0,5,"약학과"
2025,2,ADA147,"감염성 질환 약물치료학","전필",2.0,5,"약학과"
2026,2,ADA147,"감염성 질환 약물치료학","전필",2.0,5,"약학과"
2024,2,ADB034,"감염성미생물학","전필",2.0,3,"약학과"
2025,2,ADB034,"감염성미생물학","전필",2.0,3,"약학과"
2026,2,ADB034,"감염성미생물학","전필",2.0,3,"약학과"
2022,1,ADA209,"감염질환을 위한 항생물질학","전필",2.0,5,"약학과"
2023,1,ADA209,"감염질환을 위한 항생물질학","전필",2.0,5,"약학과"
2024,1,ADA209,"감염질환을 위한 항생물질학","전필",2.0,5,"약학과"
2025,1,ADA209,"감염질환을 위한 항생물질학","전필",2.0,5,"약학과"
2025,1,ADB045,"감염질환을 위한 항생물질학","전필",2.0,4,"약학과"
2026,1,ADB045,"감염질환을 위한 항생물질학","전필",2.0,4,"약학과"
2022,1,ADA182,"건강기능식품학","전선",2.0,4,"약학과"
2023,1,ADA182,"건강기능식품학","전선",2.0,4,"약학과"
2024,2,ADA182,"건강기능식품학","전선",2.0,5,"약학과"
2025,2,ADB050,"건강기능식품학","전선",2.0,4,"약학과"
2026,2,ADB050,"건강기능식품학","전선",3.0,4,"약학과"
2022,2,ADA148,"내분비계 및 류마티스 질환 약물치료학","전필",2.0,5,"약학과"
2023,2,ADA148,"내분비계 및 류마티스 질환 약물치료학","전필",2.0,5,"약학과"
2024,2,ADA148,"내분비계 및 류마티스 질환 약물치료학","전필",2.0,5,"약학과"
2025,2,ADA148,"내분비계 및 류마티스 질환 약물치료학","전필",2.0,5,"약학과"
2026,2,ADA148,"내분비계 및 류마티스 질환 약물치료학","전선",2.0,5,"약학과"
2026,1,ADA234,"독성학1","전선",2.0,5,"약학과"
2026,2,ADA235,"독성학2","전선",2.0,5,"약학과"
2022,2,ADA121,"동물용의약품학","전선",1.0,5,"약학과"
2023,2,ADA121,"동물용의약품학","전선",1.0,5,"약학과"
