course_code,course_names,years_seen,grades_seen,semesters_seen,four_year_anchor_years,six_year_anchor_years,grade_1_2_years,four_year_evidence_count,six_year_evidence_count,anchor_generation,evidence_summary
ADA001,약물학 2,2022;2023;2024,4,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA002,면역학,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA006,병태생리학,2022;2023;2024,3,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA012,약품생화학 2,2022;2023;2024,3,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA022,해부생리학,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA030,약물학 1,2022;2023;2024,4,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA031,약품분석화학 1,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA033,생물약제학,2022;2023;2024,4,2,,,,0,0,unresolved,
ADA041,물리약학 2,2022;2023;2024,3,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA042,약품생화학 1,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA045,독성학,2022;2023;2024,5,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA051,약학통계,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA053,조제학,2024,5,2,,,,0,0,unresolved,
ADA055,생약학 2,2022;2023;2024,4,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA063,약물유전체학,2023;2024,4,1,,,,0,0,unresolved,
ADA065,생약학 1,2022;2023;2024,4,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA074,약품분석화학 2,2022;2023;2024,3,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA076,물리약학 1,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA080,약화학,2022;2023;2024,3,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA086,약물동태학,2022;2023;2024,4,2,,,,0,0,unresolved,
ADA092,신경생리학,2022;2023;2024,3,2,,,,0,0,unresolved,
ADA102,의약화학 1,2022;2023;2024,4,1,,,,0,0,unresolved,
ADA103,의약화학 2,2023;2024,4,2,,,,0,0,unresolved,
ADA104,약품 미생물학,2022;2023;2024,4,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA107,생물의약품학,2025,5,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA109,예방약학 2,2022;2023;2024;2025,5,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA115,지역약국 예비실무실습,2022;2023;2024;2025,5,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADA118,약업경영학,2022;2023;2024;2025,5,2,2022;2023,2025,,2,1,conflict,unique_4year_flowchart_match:2022;2023;unique_6year_flowchart_match:2025
ADA120,향장품학,2022;2023;2024,4,1,,,,0,0,unresolved,
ADA121,동물용의약품학,2022;2023;2024,5,2,,,,0,0,unresolved,
ADA122,천연물의약품학,2022;2023;2024,4,1,,,,0,0,unresolved,
ADA132,예방약학 1,2022;2023;2024;2025,5,1,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA136,심혈관계 질환 약물치료학,2022;2023;2024,4,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA137,임상약학 해설,2022;2023;2024,4,2,2022;2023,,,2,0,four_year,unique_4year_flowchart_match:2022;2023
ADA140,한약제제학,2022;2023;2024;2025,5,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
