candidate_code,candidate_name,candidate_grade,candidate_semester,candidate_completion_type,candidate_credits,candidate_prefix,classification,match_type,anchor_codes,anchor_names,anchor_grades,similarity,reason
ADA002,면역학,3,1,전필,3,ADA,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA076,물리약학 1,3,1,전필,3,ADA,PEET_COLLISION_EXACT,exact,ADB010,물리약학1,2-1,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADB029,보건사회약학,3,1,전필,3,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA223,상담지도 1,3,1,전필,0,ADA,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADB026,생약학1,3,1,전필,2,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADB024,약물학1,3,1,전필,3,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADB025,약품미생물학,3,1,전필,3,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA031,약품분석화학 1,3,1,전필,2,ADA,REVIEW_SIMILAR,similar,ADB011,의약품분석학1,2-1,0.857,1~2학년 수능세대 anchor와 명칭 유사도가 높지만 자동 세대 판정 근거로는 충분하지 않음.
ADA042,약품생화학 1,3,1,전필,3,ADA,PEET_COLLISION_EXACT,exact,ADB008,약품생화학1,2-1,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADA201,약학실험 1,3,1,전필,2,ADA,PEET_COLLISION_EXACT,exact,ADB013,약학실험1,2-1,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADB031,약학실험3,3,1,전필,2,ADB,REVIEW_SIMILAR,similar,ADB013;ADB022,약학실험1;약학실험2,2-1;2-2,0.800,1~2학년 수능세대 anchor와 명칭 유사도가 높지만 자동 세대 판정 근거로는 충분하지 않음.
ADB030,의약품기기분석학1,3,1,전필,2,ADB,REVIEW_SIMILAR,similar,ADB011,의약품분석학1,2-1,0.875,1~2학년 수능세대 anchor와 명칭 유사도가 높지만 자동 세대 판정 근거로는 충분하지 않음.
ADB028,의약품합성학1,3,1,전필,2,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADB027,제제과학1,3,1,전필,3,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA199,무기 및 방사성 의약품학,3,1,전선,2,ADA,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA212,약사윤리와 진로 적응,3,1,전선,1,ADA,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA051,약학통계,3,1,전선,2,ADA,PEET_COLLISION_EXACT,exact,ADB012,약학통계,2-1,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADA080,약화학,3,1,전선,3,ADA,PEET_COLLISION_FAMILY,family,ADB009;ADB018,약화학 1;약화학 2,2-1;2-2,,"1~2학년 수능세대 anchor와 같은 과목명 계열이며, 한쪽에만 말단 번호가 존재함."
ADA022,해부생리학,3,1,전선,3,ADA,PEET_COLLISION_EXACT,exact,ADB001,해부생리학,1-1,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADB034,감염성미생물학,3,2,전필,2,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA041,물리약학 2,3,2,전필,2,ADA,PEET_COLLISION_EXACT,exact,ADB019,물리약학2,2-2,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADA224,상담지도 II,3,2,전필,0,ADA,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADB036,생약학2,3,2,전필,2,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADB033,약물학2,3,2,전필,3,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA074,약품분석화학 2,3,2,전필,1,ADA,REVIEW_SIMILAR,similar,ADB020,의약품분석학2,2-2,0.857,1~2학년 수능세대 anchor와 명칭 유사도가 높지만 자동 세대 판정 근거로는 충분하지 않음.
ADA012,약품생화학 2,3,2,전필,2,ADA,PEET_COLLISION_EXACT,exact,ADB016,약품생화학2,2-2,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADA195,약학실험 2,3,2,전필,2,ADA,PEET_COLLISION_EXACT,exact,ADB022,약학실험2,2-2,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADB041,약학실험4,3,2,전필,2,ADB,REVIEW_SIMILAR,similar,ADB013;ADB022,약학실험1;약학실험2,2-1;2-2,0.800,1~2학년 수능세대 anchor와 명칭 유사도가 높지만 자동 세대 판정 근거로는 충분하지 않음.
ADA181,의약분자생물학,3,2,전필,2,ADA,PEET_COLLISION_EXACT,exact,ADB017,의약분자생물학,2-2,1.000,1~2학년 수능세대 anchor와 교과목명이 정규화 후 동일함.
ADB040,의약품기기분석학2,3,2,전필,2,ADB,REVIEW_SIMILAR,similar,ADB020,의약품분석학2,2-2,0.875,1~2학년 수능세대 anchor와 명칭 유사도가 높지만 자동 세대 판정 근거로는 충분하지 않음.
ADA198,의약품합성학,3,2,전필,3,ADA,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADB038,의약품합성학2,3,2,전필,2,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADB037,제제과학2,3,2,전필,3,ADB,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
ADA189,바이러스학,3,2,전선,3,ADA,UNRESOLVED,,,,,,1~2학년 수능세대 anchor와 직접적인 명칭 충돌을 찾지 못함.
