entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note,decision_status,provisional_generation,decision_reason,generation_evidence,generation_evidence_reason,lineage_candidate,lineage_pair_status,lineage_reason,continuity_candidate,continuity_strength,continuity_status,continuity_reason,official_relation,relation_types,relation_counterpart_codes,relation_counterpart_names
,3,1,상담지도 1,ADA223,전필,0,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,3,2,상담지도 II,ADA224,전필,0,source=2022학년도_약학과_교육과정.pdf; page=4; extractor=vision,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,3,2,신경생리학,ADA092,전선,1,source=2022학년도_약학과_교육과정.pdf; page=5; extractor=vision,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,4,1,의약화학 1,ADA102,전필,2,source=2022학년도_약학과_교육과정.pdf; page=5; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,건강기능식품학,ADB050,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,건강기능식품학,ADA182,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,의약화학1,ADB047,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,천연물의약품학,ADB048,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,천연물의약품학,ADA122,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,향장품학,ADA120,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
