entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note
,1,1,약학기초생물학1,ADB002,전선,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,1,1,약학기초화학1,ADB003,전선,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,1,1,해부생리학,ADB001,전선,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,1,2,신경생리학,ADB004,전선,1,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,1,2,약학기초생물학2,ADB005,전선,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,1,2,약학기초화학2,ADB006,전선,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,1,물리약학1,ADB010,전필,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,1,약품생화학1,ADB008,전필,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,1,약학실험1,ADB013,전필,2,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,1,약학통계,ADB012,전필,2,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,1,의약품분석학1,ADB011,전필,2,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,1,병태생리학1,ADB007,전선,2,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,1,약화학 1,ADB009,전선,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,2,물리약학2,ADB019,전필,2,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,2,약품면역학,ADB021,전필,2,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,2,약품생화학2,ADB016,전필,3,source=2022학년도_약학과_교육과정.pdf; page=2; extractor=vision,,,,,,,,,,,
,2,2,약학실험2,ADB022,전필,2,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,2,2,약화학 2,ADB018,전필,3,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,2,2,의약품분석학2,ADB020,전필,2,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,2,2,병태생리학2,ADB015,전선,2,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,2,2,의약분자생물학,ADB017,전선,2,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,3,1,보건사회약학,ADB029,전필,3,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,3,1,생약학1,ADB026,전필,2,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,3,1,약물학1,ADB024,전필,3,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,3,1,약품미생물학,ADB025,전필,3,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,3,1,약학실험3,ADB031,전필,2,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,3,1,의약품기기분석학1,ADB030,전필,2,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,3,1,의약품합성학1,ADB028,전필,2,source=2022학년도_약학과_교육과정.pdf; page=3; extractor=vision,,,,,,,,,,,
,3,1,제제과학1,ADB027,전필,3,source=2022학년도_약학과_교육과정.pdf; page=4; extractor=vision,,,,,,,,,,,
,3,2,감염성미생물학,ADB034,전필,2,source=2022학년도_약학과_교육과정.pdf; page=4; extractor=vision,,,,,,,,,,,
,3,2,생약학2,ADB036,전필,2,source=2022학년도_약학과_교육과정.pdf; page=4; extractor=vision,,,,,,,,,,,
,3,2,약물학2,ADB033,전필,3,source=2022학년도_약학과_교육과정.pdf; page=4; extractor=vision,,,,,,,,,,,
,3,2,약학실험4,ADB041,전필,2,source=2022학년도_약학과_교육과정.pdf; page=4; extractor=vision,,,,,,,,,,,
,3,2,의약품기기분석학2,ADB040,전필,2,source=2022학년도_약학과_교육과정.pdf; page=4; extractor=vision,,,,,,,,,,,
,3,2,의약품합성학2,ADB038,전필,2,source=2022학년도_약학과_교육과정.pdf; page=5; extractor=vision,,,,,,,,,,,
,3,2,제제과학2,ADB037,전필,3,source=2022학년도_약학과_교육과정.pdf; page=5; extractor=vision,,,,,,,,,,,
,3,2,약사 커뮤니케이션,ADB039,전선,2,source=2022학년도_약학과_교육과정.pdf; page=5; extractor=vision,,,,,,,,,,,
,3,2,임상면역학,ADB035,전선,1,source=2022학년도_약학과_교육과정.pdf; page=5; extractor=vision,,,,,,,,,,,
,4,1,감염질환을 위한 항생물질학,ADB045,전필,2,source=2022학년도_약학과_교육과정.pdf; page=5; extractor=vision,,,,,,,,,,,
,4,1,예방약학1,ADB044,전필,3,source=2022학년도_약학과_교육과정.pdf; page=5; extractor=vision,,,,,,,,,,,
,4,1,제제과학 실험,ADB051,전필,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,
,4,1,AI 의료약학빅데이터,ADB053,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,
,4,1,나노약학,ADB054,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,
,4,1,내분비계 및 류마티스 질환 약물치료,ADB063,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,
,4,1,무기방사성 의약품학,ADB052,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,
,4,1,약용식물학,ADB049,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,
,4,1,임상미생물학,ADB046,전선,2,source=2022학년도_약학과_교육과정.pdf; page=6; extractor=vision,,,,,,,,,,,
,4,2,감염성 질환 약물치료학,ADB069,전필,2,source=2022학년도_약학과_교육과정.pdf; page=7; extractor=vision,,,,,,,,,,,
,4,2,보건의약관계법규,ADB064,전필,2,source=2022학년도_약학과_교육과정.pdf; page=7; extractor=vision,,,,,,,,,,,
,4,2,예방약학2,ADB055,전필,2,source=2022학년도_약학과_교육과정.pdf; page=7; extractor=vision,,,,,,,,,,,
,4,2,의약정보학과 경제성평가,ADB073,전필,2,source=2022학년도_약학과_교육과정.pdf; page=7; extractor=vision,,,,,,,,,,,
,4,2,바이오의약품 분석,ADB060,전선,2,source=2022학년도_약학과_교육과정.pdf; page=7; extractor=vision,,,,,,,,,,,
,4,2,바이오의약품학,ADB056,전선,2,source=2022학년도_약학과_교육과정.pdf; page=7; extractor=vision,,,,,,,,,,,
,4,2,법과학,ADB061,전선,2,source=2022학년도_약학과_교육과정.pdf; page=7; extractor=vision,,,,,,,,,,,
,4,2,약사윤리,ADB065,전선,1,source=2022학년도_약학과_교육과정.pdf; page=8; extractor=vision,,,,,,,,,,,
,4,2,의약품설계학,ADB066,전선,3,source=2022학년도_약학과_교육과정.pdf; page=8; extractor=vision,,,,,,,,,,,
,4,2,의약화학2,ADB059,전선,2,source=2022학년도_약학과_교육과정.pdf; page=8; extractor=vision,,,,,,,,,,,
,4,2,호흡기계 및 소화기계 질환 약물치료학,ADB071,전선,2,source=2022학년도_약학과_교육과정.pdf; page=8; extractor=vision,,,,,,,,,,,
,5,1,신경정신계 및 신장 질환 약물치료학,ADB062,전필,3,source=2022학년도_약학과_교육과정.pdf; page=8; extractor=vision,,,,,,,,,,,
,5,1,항암약물요법,ADB070,전필,2,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,
,5,1,독성학,ADB068,전선,2,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,
