entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note
,3,1,면역학,ADA002,전필,3,source=2023학년도_약학과_교육과정.pdf; page=5,,,,,,,,,,,
,3,1,물리약학 1,ADA076,전필,3,source=2023학년도_약학과_교육과정.pdf; page=5,,,,,,,,,,,
,3,1,약품분석화학 1,ADA031,전필,2,source=2023학년도_약학과_교육과정.pdf; page=5,,,,,,,,,,,
,3,1,약품생화학 1,ADA042,전필,3,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,1,약학실험 1,ADA201,전필,2,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,1,무기 및 방사성 의약품학,ADA199,전선,2,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,1,약사윤리와 진로 적응,ADA212,전선,1,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,1,약학통계,ADA051,전선,2,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,1,약화학,ADA080,전선,3,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,1,해부생리학,ADA022,전선,3,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,2,물리약학 2,ADA041,전필,2,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,2,약품분석화학 2,ADA074,전필,1,source=2023학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,2,약품생화학 2,ADA012,전필,2,source=2023학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약학실험 2,ADA195,전필,2,source=2023학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,의약품합성학,ADA198,전필,3,source=2023학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,병태생리학,ADA006,전선,4,source=2023학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약품기기분석학,ADA196,전선,3,source=2023학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,의약분자생물학,ADA181,전선,2,source=2023학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,의약품설계학,ADA197,전선,2,source=2023학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,4,1,보건사회약학,ADA193,전필,3,source=2023학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,4,1,생약학 1,ADA065,전필,2,source=2023학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,약물학 1,ADA030,전필,4,source=2023학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,약품 미생물학,ADA104,전필,3,source=2023학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,약학실험 3,ADA184,전필,2,source=2023학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,제제과학 1,ADA186,전필,3,source=2023학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,2,감염미생물학,ADA208,전필,2,source=2023학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,생약학 2,ADA055,전필,2,source=2023학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,약물학 2,ADA001,전필,2,source=2023학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,약학실험 4,ADA192,전필,2,source=2023학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,제제과학 2,ADA187,전필,3,source=2023학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,심혈관계 질환 약물치료학,ADA136,전선,3,source=2023학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,의약정보학과 커뮤니케이션,ADA204,전선,2,source=2023학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,임상생화학,ADA183,전선,1,source=2023학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,임상약학 해설,ADA137,전선,1,source=2023학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,5,1,감염질환을 위한 항생물질학,ADA209,전필,2,source=2023학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,의료기관약국 예비실무실습,ADA217,전필,2,source=2023학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,의약품 경제성평가,ADA206,전필,2,source=2023학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,제제과학실습,ADA200,전필,2,source=2023학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
