academic_year,grade,semester,course_name,course_code,completion_type,credits,original_decision_status,original_generation,scenario_a_generation,scenario_a_reason,scenario_b_generation,scenario_b_reason,manual_override,manual_override_reason,final_action,final_generation,final_reason,baseline_included
2022,3,1,면역학,ADA002,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,물리약학 1,ADA076,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,상담지도 1,ADA223,전필,0,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2022,3,1,약품분석화학 1,ADA031,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,약품생화학 1,ADA042,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,약학실험 1,ADA201,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,무기 및 방사성 의약품학,ADA199,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,약사윤리와 진로 적응,ADA212,전선,1,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,약학통계,ADA051,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,약화학,ADA080,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,1,해부생리학,ADA022,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,물리약학 2,ADA041,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,상담지도 II,ADA224,전필,0,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2022,3,2,약품분석화학 2,ADA074,전필,1,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,약품생화학 2,ADA012,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,약학실험 2,ADA195,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,의약분자생물학,ADA181,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,의약품합성학,ADA198,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,바이러스학,ADA189,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,병태생리학,ADA006,전선,4,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,신경생리학,ADA092,전선,1,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2022,3,2,약품기기분석학,ADA196,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,3,2,의약품설계학,ADA197,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
