entry_year,status,course_name,normalized_course_name,baseline_grade,baseline_semester,baseline_course_code,baseline_completion_type,baseline_credits,flowchart_grade,flowchart_semester,flowchart_course_name,reason
2022,FLOWCHART_ONLY,해부생리학1,해부생리학1,,,,,,1,1,해부생리학1,6year_flowchart_course_not_present_in_baseline
2022,FLOWCHART_ONLY,해부생리학2,해부생리학2,,,,,,1,2,해부생리학2,6year_flowchart_course_not_present_in_baseline
2022,FLOWCHART_ONLY,내분비계 및 류마티스질환 약물치료학,내분비계및류마티스질환약물치료학,,,,,,4,1,내분비계 및 류마티스질환 약물치료학,6year_flowchart_course_not_present_in_baseline
2022,FLOWCHART_ONLY,방제학,방제학,,,,,,4,1,방제학,6year_flowchart_course_not_present_in_baseline
2022,FLOWCHART_ONLY,향장품학,향장품학,,,,,,4,1,향장품학,6year_flowchart_course_not_present_in_baseline
2022,FLOWCHART_ONLY,동물용의약품학,동물용의약품학,,,,,,5,2,동물용의약품학,6year_flowchart_course_not_present_in_baseline
2022,FLOWCHART_ONLY,심혈관계질환 및 약물치료학,심혈관계질환및약물치료학,,,,,,5,2,심혈관계질환 및 약물치료학,6year_flowchart_course_not_present_in_baseline
2022,POSITION_MISMATCH,의약정보학과 경제성평가,의약정보학과경제성평가,4,2,ADB073,전필,2,5,1,의약정보학과 경제성평가,same_name_different_position
2022,POSITION_MISMATCH,약학용어,약학용어,5,1,ADB076,전선,2,4,1,약학용어,same_name_different_position
2022,POSITION_MISMATCH,조제학,조제학,5,1,ADB077,전선,3,4,1,조제학,same_name_different_position
2022,POSITION_MISMATCH,일반의약품학,일반의약품학,5,2,ADB084,전선,3,4,2,일반의약품학,same_name_different_position
2022,BASELINE_ONLY,해부생리학,해부생리학,1,1,ADB001,전선,3,,,,course_not_present_in_6year_flowchart
2022,BASELINE_ONLY,신경생리학,신경생리학,1,2,ADB004,전선,1,,,,course_not_present_in_6year_flowchart
2022,BASELINE_ONLY,내분비계 및 류마티스 질환 약물치료,내분비계및류마티스질환약물치료,4,1,ADB063,전선,2,,,,course_not_present_in_6year_flowchart
2022,BASELINE_ONLY,약학실험5,약학실험5,4,2,ADB067,전필,1,,,,course_not_present_in_6year_flowchart
2022,BASELINE_ONLY,심혈관계 질환 약물치료학,심혈관계질환약물치료학,5,2,ADB082,전선,3,,,,course_not_present_in_6year_flowchart
2022,MATCH,약학기초생물학1,약학기초생물학1,1,1,ADB002,전선,3,1,1,약학기초생물학1,same_name_same_position
2022,MATCH,약학기초화학1,약학기초화학1,1,1,ADB003,전선,3,1,1,약학기초화학1,same_name_same_position
2022,MATCH,약학기초생물학2,약학기초생물학2,1,2,ADB005,전선,3,1,2,약학기초생물학2,same_name_same_position
2022,MATCH,약학기초화학2,약학기초화학2,1,2,ADB006,전선,3,1,2,약학기초화학2,same_name_same_position
2022,MATCH,물리약학1,물리약학1,2,1,ADB010,전필,3,2,1,물리약학1,same_name_same_position
2022,MATCH,병태생리학1,병태생리학1,2,1,ADB007,전선,2,2,1,병태생리학1,same_name_same_position
2022,MATCH,약품생화학1,약품생화학1,2,1,ADB008,전필,3,2,1,약품생화학1,same_name_same_position
2022,MATCH,약학실험1,약학실험1,2,1,ADB013,전필,2,2,1,약학실험1,same_name_same_position
2022,MATCH,약학통계,약학통계,2,1,ADB012,전필,2,2,1,약학통계,same_name_same_position
2022,MATCH,약화학 1,약화학1,2,1,ADB009,전선,3,2,1,약화학1,same_name_same_position
2022,MATCH,의약품분석학1,의약품분석학1,2,1,ADB011,전필,2,2,1,의약품분석학1,same_name_same_position
2022,MATCH,물리약학2,물리약학2,2,2,ADB019,전필,2,2,2,물리약학2,same_name_same_position
2022,MATCH,병태생리학2,병태생리학2,2,2,ADB015,전선,2,2,2,병태생리학2,same_name_same_position
