academic_year,diff_type,course_code,baseline_grade,seed_grade,baseline_semester,seed_semester,baseline_course_name,seed_course_name,baseline_completion_type,seed_completion_type,baseline_credits,seed_credits,changed_fields
2022,changed,ADB046,4,4,1,1,임상미생물학,임상미생물학,전선,전선,2,3,credits
2022,changed,ADB047,4,4,1,1,의약화학1,의약화학1,전선,전필,2,2,completion_type
2022,changed,ADB056,4,5,2,2,바이오의약품학,바이오의약품학,전선,전선,2,2,grade
2022,changed,ADB066,4,4,2,1,의약품설계학,의약품설계학,전선,전선,3,2,semester;credits
2022,changed,ADB073,4,5,2,1,의약정보학과 경제성평가,의약정보학과 경제성평가,전필,전필,2,2,grade;semester
2022,changed,ADB076,5,3,1,2,약학용어,약학용어,전선,전필,2,1,grade;semester;completion_type;credits
2022,changed,ADB082,5,4,2,2,심혈관계 질환 약물치료학,심혈관계 질환 약물치료학,전선,전선,3,3,grade
2022,changed,ADB083,5,4,2,2,임상약학 해설,임상약학 해설,전필,전필,1,1,grade
2022,changed,ADB085,5,3,2,1,약물유전체학,약물유전체학,전선,전선,3,3,grade;semester
2022,baseline_only,ADA182,4,,1,,건강기능식품학,,전선,,2,,
2022,seed_only,ADA118,,5,,1,,약업경영학,,전선,,2,
2022,seed_only,ADA145,,5,,1,,호흡기계 및 소화기계 질환 약물치료학,,전선,,2,
2022,seed_only,ADA147,,5,,2,,감염성 질환 약물치료학,,전필,,2,
2022,seed_only,ADA148,,5,,2,,내분비계 및 류마티스 질환 약물치료학,,전선,,2,
2022,seed_only,ADA150,,5,,1,,임상약물동태학,,전선,,2,
2022,seed_only,ADA183,,5,,1,,임상생화학,,전선,,2,
2022,seed_only,ADA198,,3,,2,,의약품합성학,,전필,,2,
2022,seed_only,ADA217,,5,,1,,의료기관약국 예비실무실습,,전필,,2,
2022,seed_only,ADA228,,3,,1,,자원생약학,,전선,,2,
2022,seed_only,ADA233,,4,,1,,임상영양학,,전선,,2,
2022,seed_only,ADA234,,5,,1,,독성학1,,전선,,2,
2022,seed_only,ADA235,,5,,2,,독성학2,,전선,,2,
2022,seed_only,ADA236,,5,,1,,환경보건약학,,전선,,2,
2022,seed_only,ADA237,,5,,2,,특수환자군 정밀의료학,,전필,,2,
2022,seed_only,ADA239,,5,,2,,약사와 건강증진,,전선,,2,
2022,seed_only,ADB043,,4,,1,,향장품학,,전선,,2,
2022,seed_only,ADB050,,4,,2,,건강기능식품학,,전선,,2,
2022,seed_only,ADB072,,5,,1,,의약품제조관리학,,전선,,3,
2022,seed_only,ADB075,,5,,1,,지역약국 예비실무실습,,전필,,2,
2022,seed_only,ADB078,,5,,1,,방제학,,전선,,3,
2022,seed_only,ADB080,,5,,2,,한약제제학,,전필,,2,
2022,seed_only,ADB081,,5,,2,,약전 및 품질관리학,,전선,,3,
2022,seed_only,ADB087,,5,,2,,약무행정실무필수실습,,전필,,1,
2022,seed_only,ADB089,,5,,1,,동물용의약품학,,전선,,1,
2022,seed_only,ADB103,,5,,1,,항암약물요법1,,전필,,2,
2022,seed_only,ADB108,,5,,2,,신장질환약물치료학,,전필,,2,
2022,seed_only,ADB109,,4,,1,,정신신경계질환 약물치료학,,전필,,2,
2022,seed_only,ADB111,,4,,1,,제제과학의실습,,전필,,2,
2022,seed_only,ADB113,,5,,2,,유용천연물소재학,,전선,,3,
2023,changed,ADB009,2,2,1,1,약화학 1,약화학1,전선,전필,3,3,completion_type
2023,changed,ADB016,2,2,2,2,약품생화학2,약품생화학2,전필,전필,3,2,credits
2023,changed,ADB018,2,2,2,2,약화학 2,약화학2,전필,전선,3,3,completion_type
2023,changed,ADB035,3,3,2,2,임상면역학,임상면역학,전선,전선,1,2,credits
2023,changed,ADB046,4,4,1,1,임상미생물학,임상미생물학,전선,전선,2,3,credits
2023,changed,ADB047,4,4,1,1,의약화학1,의약화학1,전선,전필,2,2,completion_type
2023,changed,ADB048,4,3,1,1,천연물의약품학,천연물의약품학,전선,전선,2,2,grade
2023,changed,ADB049,4,2,1,1,약용식물학,약용식물학,전선,전필,2,2,grade;completion_type
2023,changed,ADB060,4,4,2,1,바이오의약품 분석,바이오의약품 분석,전선,전선,2,2,semester
2023,changed,ADB063,4,4,1,1,내분비계 및 류마티스 질환 약물치료,내분비계 및 류마티스 질환 약물치료학,전선,전선,2,2,course_name
2023,changed,ADB076,2,3,2,2,약학용어,약학용어,전선,전필,2,1,grade;completion_type;credits
2023,changed,ADB077,2,4,2,1,조제학,조제학,전선,전선,3,3,grade;semester
2023,changed,ADB084,2,4,2,1,일반의약품학,일반의약품학,전선,전선,3,3,grade;semester
2023,changed,ADB091,2,5,2,2,종양생물학,종양생물학,전선,전선,2,2,grade
2023,baseline_only,ADA182,4,,1,,건강기능식품학,,전선,,2,,
2023,baseline_only,ADB001,1,,1,,해부생리학,,전선,,3,,
2023,baseline_only,ADB004,1,,2,,신경생리학,,전선,,1,,
2023,seed_only,ADA198,,3,,2,,의약품합성학,,전필,,2,
2023,seed_only,ADA234,,5,,1,,독성학1,,전선,,2,
2023,seed_only,ADA235,,5,,2,,독성학2,,전선,,2,
2023,seed_only,ADB043,,4,,1,,향장품학,,전선,,2,
2023,seed_only,ADB050,,4,,2,,건강기능식품학,,전선,,3,
2023,seed_only,ADB078,,4,,1,,방제학,,전선,,3,
2023,seed_only,ADB089,,5,,2,,동물용의약품학,,전선,,2,
2023,seed_only,ADB108,,5,,2,,신장질환약물치료학,,전필,,2,
2023,seed_only,ADB109,,4,,1,,정신신경계질환 약물치료학,,전필,,2,
2024,changed,ADA198,3,3,2,2,의약품합성학,의약품합성학,전필,전필,2,3,credits
2024,changed,ADB016,2,2,2,2,약품생화학2,약품생화학2,전필,전필,2,3,credits
2024,changed,ADB019,2,2,2,2,물리약학2,물리약학2,전필,전필,2,3,credits
2024,changed,ADB035,3,3,2,2,임상면역학,임상면역학,전선,전선,1,2,credits
2024,changed,ADB047,4,4,1,1,의약화학1,의약화학1,전선,전필,2,2,completion_type
2024,changed,ADB048,4,3,1,1,천연물의약품학,천연물의약품학,전선,전선,2,2,grade
2024,changed,ADB082,5,4,2,2,심혈관계 질환 약물치료학,심혈관계질환 및 약물치료학,전선,전선,3,3,grade;course_name
2024,baseline_only,ADA182,5,,2,,건강기능식품학,,전선,,2,,
2024,baseline_only,ADB001,1,,1,,해부생리학,,전선,,3,,
2024,baseline_only,ADB004,1,,2,,신경생리학,,전선,,1,,
