entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note
,6,1,의료기관약국 필수실무실습1,ADB093,전필,3,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습2,ADB094,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,1,- 의료기관약국 필수실무실습3,ADB095,전필,3,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습4,ADB096,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,1,제약산업 필수실무실습,ADB097,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,1,제약산업 필수실무실습,ADA218,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,1,지역약국 필수실무실습 1,ADA219,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,1,지역약국 필수실무실습1,ADB092,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,2,심화실습 1,ADA226,전필,5,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,2,심화실습 1,ADB099,전필,5,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,2,심화실습 2,ADB100,전필,5,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,2,심화실습 2,ADA227,전필,5,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,2,지역약국 필수실무실습 2,ADA220,전필,3,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
,6,2,지역약국 필수실무실습2,ADB098,전필,3,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,
