relation_type,old_course_code,old_course_name,new_course_code,new_course_name,designation_year,cross_designation,source_file,source_page,source_row,needs_review,review_reason
substitute,ADA073,항생물질학,ADA209,감염질환을 위한 항생물질학,2019,equivalent,2024학년도_약학과_교육과정.pdf,16,1,no,
substitute,ADA083,유기약품합성화학,ADA198,의약품합성학,2018,equivalent,2024학년도_약학과_교육과정.pdf,16,2,no,
substitute,ADA105,감염성 미생물학,ADA208,감염미생물학,2019,equivalent,2024학년도_약학과_교육과정.pdf,16,3,no,
substitute,ADA133,병원약학,ADA217,의료기관약국 예비실무실습,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,4,no,
substitute,ADA142,의약정보학,ADA204,의약정보학과 커뮤니케이션,2018,equivalent,2024학년도_약학과_교육과정.pdf,16,5,no,
substitute,ADA151,병원약학실무필수실습 1,ADA213,의료기관약국 필수실무실습 1,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,6,no,
substitute,ADA152,병원약학실무필수실습 2,ADA214,의료기관약국 필수실무실습 2,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,7,no,
substitute,ADA153,지역약국실무필수실습 1,ADA219,지역약국 필수실무실습 1,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,8,no,
substitute,ADA154,지역약국실무필수실습 2,ADA220,지역약국 필수실무실습 2,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,9,no,
substitute,ADA155,제약산업실무필수실습,ADA218,제약산업 필수실무실습,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,10,no,
substitute,ADA169,병원약학실무필수실습 3,ADA215,의료기관약국 필수실무실습 3,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,11,no,
substitute,ADA170,병원약학실무필수실습 4,ADA216,의료기관약국 필수실무실습 4,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,12,no,
substitute,ADA180,일반의약품 약물요법,ADA202,항암약물요법 및 일반의약품약물요법,2018,equivalent,2024학년도_약학과_교육과정.pdf,16,13,no,
substitute,ADA185,응용미생물학,ADA211,임상미생물학,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,14,no,
substitute,ADA205,약학개론과 윤리,ADA212,약사윤리와 진로 적응,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,15,no,
substitute,ADA207,병원미생물학,ADA211,임상미생물학,2020,equivalent,2024학년도_약학과_교육과정.pdf,16,16,no,
substitute,AMA163,의학통계자료분석,ADA051,약학통계,2011,equivalent,2024학년도_약학과_교육과정.pdf,16,17,no,
