entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note
,1,1,약학기초생물학1,ADB002,전선,3,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,1,1,약학기초화학1,ADB003,전선,3,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,1,1,해부생리학,ADB001,전선,3,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,1,1,해부생리학1,ADB101,전선,2,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,1,2,신경생리학,ADB004,전선,1,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,1,2,약학기초생물학2,ADB005,전선,3,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,1,2,약학기초화학2,ADB006,전선,3,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,1,2,해부생리학2,ADB102,전선,2,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,1,물리약학1,ADB010,전필,3,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,1,약용식물학,ADB049,전필,2,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,1,약품생화학1,ADB008,전필,3,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,1,약학실험1,ADB013,전필,2,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,1,약학통계,ADB012,전필,2,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,1,약화학 1,ADB009,전필,3,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,1,의약품분석학1,ADB011,전필,2,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,1,병태생리학1,ADB007,전선,2,source=2024학년도_약학과_교육과정.pdf; page=4,,,,,,,,,,,
,2,2,물리약학2,ADB019,전필,2,source=2024학년도_약학과_교육과정.pdf; page=5,,,,,,,,,,,
,2,2,약품면역학,ADB021,전필,2,source=2024학년도_약학과_교육과정.pdf; page=5,,,,,,,,,,,
