academic_year,program_years,grade,semester,course_name,source_file,box_x,box_y,box_width,box_height,confidence
2026,6,1,1,해부생리학1,26_6년제.png,0.018750,0.821934,0.067500,0.017099,0.500
2026,6,1,1,약학기초생물학1,26_6년제.png,0.022917,0.632075,0.065417,0.018278,0.500
2026,6,1,1,약학기초화학1,26_6년제.png,0.022917,0.180425,0.067083,0.017099,0.500
2026,6,1,2,해부생리학2,26_6년제.png,0.101667,0.820755,0.067083,0.017099,0.500
2026,6,1,2,약학기초생물학2,26_6년제.png,0.100417,0.632665,0.065417,0.017099,0.500
2026,6,1,2,약학기초화학2,26_6년제.png,0.101250,0.179245,0.067500,0.017099,0.500
2026,6,2,1,병태생리학1,26_6년제.png,0.186667,0.817807,0.060000,0.017099,0.500
2026,6,2,1,약품생화학1,26_6년제.png,0.184583,0.648585,0.067500,0.017689,0.500
2026,6,2,1,약학실험1,26_6년제.png,0.184583,0.624410,0.067500,0.017099,0.500
2026,6,2,1,약용식물학,26_6년제.png,0.182500,0.462854,0.067500,0.017099,0.500
2026,6,2,1,약화학1,26_6년제.png,0.183333,0.333726,0.067083,0.017099,0.500
2026,6,2,1,의약품분석학1,26_6년제.png,0.183333,0.284788,0.067083,0.017099,0.500
2026,6,2,1,약학실험1,26_6년제.png,0.183333,0.261203,0.067083,0.017099,0.500
2026,6,2,1,물리약학1,26_6년제.png,0.187083,0.176887,0.059583,0.019458,0.500
2026,6,2,1,약학통계,26_6년제.png,0.187083,0.096698,0.054583,0.017099,0.500
2026,6,2,2,병태생리학2,26_6년제.png,0.265000,0.817807,0.067083,0.017099,0.500
2026,6,2,2,약학실험2,26_6년제.png,0.265417,0.795991,0.067500,0.017689,0.500
2026,6,2,2,약품생화학2,26_6년제.png,0.265417,0.654481,0.067500,0.017099,0.500
2026,6,2,2,의약분자생물학,26_6년제.png,0.265000,0.629127,0.067500,0.017689,0.500
2026,6,2,2,약품면역학,26_6년제.png,0.264583,0.604953,0.067500,0.017099,0.500
2026,6,2,2,의약품분석학2,26_6년제.png,0.263750,0.284788,0.067500,0.017689,0.500
2026,6,2,2,의약품개발사,26_6년제.png,0.263750,0.261203,0.067500,0.017099,1.000
2026,6,2,2,물리약학2,26_6년제.png,0.267083,0.187500,0.067500,0.017099,0.500
