entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note,decision_status,provisional_generation,decision_reason,generation_evidence,generation_evidence_reason,lineage_candidate,lineage_pair_status,lineage_reason,continuity_candidate,continuity_strength,continuity_status,continuity_reason,official_relation,relation_types,relation_counterpart_codes,relation_counterpart_names
,3,1,약용식물학,ADA203,전선,2,source=2024학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,weak_only,generation_evidence_exists_only_two_years_away,no,,,
,3,2,바이러스학,ADA189,전선,3,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,weak_only,generation_evidence_exists_only_two_years_away,no,,,
,3,2,신경생리학,ADA092,전선,1,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,4,1,의약화학 1,ADA102,전필,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,건강기능식품학,ADB050,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,six_year,moderate,candidate,next_adjacent_year_support,no,,,
,4,1,나노약학,ADA229,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,나노약학,ADB054,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,약물유전체학,ADA063,전선,3,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,4,1,천연물의약품학,ADA122,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,향장품학,ADA120,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,1,향장품학,ADB043,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,2,약학실험5,ADB067,전필,1,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,six_year,moderate,candidate,next_adjacent_year_support,no,,,
,4,2,의약화학 2,ADA103,전필,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,2,법과학,ADA230,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,4,2,법과학,ADB061,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,weak_only,generation_evidence_exists_only_two_years_away,no,,,
,4,2,생물약제학,ADA033,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,2,약물동태학,ADA086,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,4,2,임상의약정보학,ADA232,전선,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,5,1,의료기관약국 예비실무실습,ADA217,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,,conflict,,continuity_generation_conflict,unresolved,no_direct_flowchart_evidence,,,,,,conflict,four_year_and_six_year_both_present_within_two_year_window,yes,equivalent;substitute,ADA133,병원약학
,5,1,의약품 경제성평가,ADA206,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,,conflict,,continuity_generation_conflict,unresolved,no_direct_flowchart_evidence,,,,,,conflict,four_year_and_six_year_both_present_within_two_year_window,no,,,
,5,1,지역약국 예비실무실습,ADB075,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,1,방제학,ADB078,전선,3,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,5,1,의약품제조관리학,ADB072,전선,3,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,1,호흡기계 및 소화기계 질환 약물치료학,ADA145,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,,conflict,,continuity_generation_conflict,unresolved,no_direct_flowchart_evidence,,,,,,conflict,four_year_and_six_year_both_present_within_two_year_window,no,,,
