academic_year,grade,semester,course_name,course_code,completion_type,credits,current_generation,previous_1_year,previous_1_generation,previous_1_reason,previous_2_year,previous_2_generation,previous_2_reason,next_1_year,next_1_generation,next_1_reason,next_2_year,next_2_generation,next_2_reason,supporting_four_years,supporting_six_years,continuity_candidate,continuity_strength,continuity_status,continuity_reason
2022,3,1,상담지도 1,ADA223,전필,0,unresolved,,,,,,,,,,,,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window
2022,3,2,상담지도 II,ADA224,전필,0,unresolved,,,,,,,,,,,,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window
2022,3,2,신경생리학,ADA092,전선,1,unresolved,,,,,,,,,,,,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window
2022,4,2,약학실험5,ADB067,전필,1,unresolved,,,,,,,,,,,,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window
2022,4,2,의약정보학과 경제성평가,ADB073,전필,2,unresolved,,,,,,,2023,six_year,unique_pdf_row_matches_6year_flowchart,2024,six_year,unique_pdf_row_matches_6year_flowchart,,2023;2024,six_year,strong,candidate,two_year_forward_consensus
2022,5,1,방제학,ADB078,전선,3,unresolved,,,,,,,,,,,,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window
2022,5,1,약학용어,ADB076,전선,2,unresolved,,,,,,,2023,six_year,grade_1_2_rule,2024,six_year,unique_pdf_row_matches_6year_flowchart,,2023;2024,six_year,strong,candidate,two_year_forward_consensus
2022,5,1,조제학,ADB077,전선,3,unresolved,,,,,,,2023,six_year,grade_1_2_rule,2024,six_year,grade_1_2_rule,,2023;2024,six_year,strong,candidate,two_year_forward_consensus
2022,5,2,바이오의약품학,ADA225,전선,2,unresolved,,,,,,,,,,,,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window
2022,5,2,일반의약품학,ADB084,전선,3,unresolved,,,,,,,2023,six_year,grade_1_2_rule,2024,six_year,unique_pdf_row_matches_6year_flowchart,,2023;2024,six_year,strong,candidate,two_year_forward_consensus
2023,3,1,약용식물학,ADA203,전선,2,unresolved,2022,four_year,unique_pdf_row_matches_4year_flowchart,,,,,,,,,,2022,,four_year,moderate,candidate,previous_adjacent_year_support
2023,3,2,바이러스학,ADA189,전선,3,unresolved,2022,four_year,unique_pdf_row_matches_4year_flowchart,,,,,,,,,,2022,,four_year,moderate,candidate,previous_adjacent_year_support
