academic_year,grade,semester,course_name,course_code,completion_type,credits,group_size,partner_codes,previous_year,previous_generation,next_year,next_generation,previous_direct_four_year,previous_direct_six_year,next_direct_four_year,next_direct_six_year,row_lineage_candidate,pair_status,lineage_reason
2022,4,1,건강기능식품학,ADB050,전선,2,2,ADA182,,,2025,six_year,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,1,건강기능식품학,ADA182,전선,2,2,ADB050,,,2024,six_year,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,1,의약화학 1,ADA102,전필,2,2,ADB047,,,,,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,1,의약화학1,ADB047,전선,2,2,ADA102,,,2025,six_year,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,1,천연물의약품학,ADB048,전선,2,2,ADA122,,,2025,six_year,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,1,천연물의약품학,ADA122,전선,2,2,ADB048,,,,,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,1,향장품학,ADA120,전선,2,2,ADB043,,,,,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,1,향장품학,ADB043,전선,2,2,ADA120,,,,,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,2,생물약제학,ADB057,전선,2,2,ADA033,,,2025,six_year,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,2,생물약제학,ADA033,전선,2,2,ADB057,,,,,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,2,약물동태학,ADA086,전선,2,2,ADB058,,,,,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,4,2,약물동태학,ADB058,전선,3,2,ADA086,,,2025,six_year,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
2022,5,1,의약품제조관리학,ADB072,전선,3,2,ADA171,,,,,no,no,no,no,unresolved,unresolved,no_adjacent_year_direct_generation_evidence
