academic_year,grade,semester,course_name,group_size,row_1_code,row_1_status,row_1_generation,row_1_reason,row_1_lineage,row_1_relation,row_2_code,row_2_status,row_2_generation,row_2_reason,row_2_lineage,row_2_relation,resolved_rows,paired_unknown_rows,group_status,group_reason
2022,4,1,건강기능식품학,2,ADA182,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB050,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,4,1,의약화학 1,2,ADA102,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB047,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,4,1,천연물의약품학,2,ADA122,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB048,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,4,1,향장품학,2,ADA120,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB043,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,4,2,생물약제학,2,ADA033,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB057,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,4,2,약물동태학,2,ADA086,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB058,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,5,1,의약품제조관리학,2,ADA171,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB072,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,5,1,지역약국 예비실무실습,2,ADA115,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB075,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,5,2,동물용의약품학,2,ADA121,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB089,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
2022,5,2,약무행정실무필수실습,2,ADA174,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,ADB087,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,unresolved,no,0,2,fully_unresolved,both_rows_remain_paired_unknown
