학번별 전공필수 학점 변화,,,,
,,,,
학번,기존 전필,변경 후,순변화,
2022학번,118학점,122학점,+4학점,
2023학번,118학점,121학점,+3학점,
2024학번,118학점,120학점,+2학점,
,,,,
2022학번,118학점 → 122학점,,,
변경 과목,변경 전,→,변경 후,전필 영향
특수환자군 정밀의료학,신규,→,특수환자군 정밀의료학 전필 2학점,+2학점
의약품합성학1,전필 2학점 + 의약품합성학2 전필 2학점,→,의약품합성학 전필 2학점,-2학점
의약화학1,전선 2,→,전필 2학점,+2학점
신경정신계 및 신장 질환 약물치료학,전필 3학점,→,정신신경계질환 약물치료학 전필 2학점 + 신장질환약물치료학 전필 2학점,+1학점
약학용어,전선 2,→,전필 1학점,+1학점
합계,118학점,+,4학점,= 122학점
,,,,
2023학번,118학점 → 121학점,,,
변경 과목,변경 전,→,변경 후,전필 영향
약화학1,전선 3,→,전필 3학점,+3학점
약품생화학2,전필 3,→,2학점,-1학점
약학용어,전선 2,→,전필 1학점,+1학점
약화학2,전필 3,→,전선 3학점,-3학점
의약품합성학1,전필 2학점 + 의약품합성학2 전필 2학점,→,의약품합성학 전필 2학점,-2학점
약용식물학,전선 2,→,전필 2학점,+2학점
의약화학1,전선 2,→,전필 2학점,+2학점
신경정신계 및 신장 질환 약물치료학,전필 3학점,→,정신신경계질환 약물치료학 전필 2학점 + 신장질환약물치료학 전필 2학점,+1학점
합계,118학점,+,3학점,= 121학점
,,,,
2024학번,118학점 → 120학점,,,
변경 과목,변경 전,→,변경 후,전필 영향
물리약학2,전필 2,→,3학점,+1학점
약품생화학2,전필 2,→,3학점,+1학점
의약품합성학,전필 2,→,3학점,+1학점
의약화학1,전선 2,→,전필 2학점,+2학점
신경정신계 및 신장 질환 약물치료학,전필 3학점,→,신경정신계 질환 약물치료학 전선 2학점 + 신장질환 약물치료학 전선 2학점,-3학점
합계,118학점,+,2학점,= 120학점
,,,,
