학년도,학기,이수구분,교과목,교과목명,분반,학점,담당교수,개설학과,등급패스,역량구분,출력,중간문제,기말문제
2022,2,전필,ADA001,약물학 2,1,2.0,김만수,약학과(4),등급,전공능력,,,
2022,2,전필,ADA012,약품생화학 2,1,2.0,박민철,약학과(3),등급,전공능력,,,
2022,2,전필,ADA041,물리약학 2,1,2.0,조관형,약학과(3),등급,전공능력,,,
2022,2,전필,ADA055,생약학 2,1,2.0,박유미,약학과(4),등급,전공능력,,,
2022,2,전필,ADA074,약품분석화학 2,1,1.0,박유미,약학과(3),등급,전공능력,,,
2022,2,전필,ADA103,의약화학 2,1,2.0,박요한,약학과(4),등급,전공능력,,,
2022,2,전필,ADA140,한약제제학,1,2.0,김옥미,약학과(5),등급,전공능력,,,
2022,2,전필,ADA147,감염성 질환 약물치료학,1,2.0,천부순,약학과(5),등급,전공능력,,,
2022,2,전필,ADA148,내분비계 및 류마티스 질환 약물치료학,1,2.0,천부순,약학과(5),등급,전공능력,,,
2022,2,전필,ADA174,약무행정실무필수실습,1,1.0,김성옥,약학과(5),등급,전공능력,,,
2022,2,전필,ADA181,의약분자생물학,1,2.0,박민철,약학과(3),등급,전공능력,,,
2022,2,전필,ADA187,제제과학 2,1,3.0,민경아,약학과(4),등급,전공능력,,,
2022,2,전필,ADA190,임상면역학,1,3.0,윤현주,약학과(5),등급,전공능력,,,
2022,2,전필,ADA192,약학실험 4,1,2.0,"민경아,윤현주",약학과(4),등급,전공능력,,,
2022,2,전필,ADA194,보건의약관계법규,1,2.0,김성옥,약학과(5),등급,전공능력,,,
2022,2,전필,ADA195,약학실험 2,1,2.0,"박민철,조관형",약학과(3),등급,전공능력,,,
2022,2,전필,ADA198,의약품합성학,1,3.0,박요한,약학과(3),등급,전공능력,,,
2022,2,전필,ADA208,감염미생물학,1,2.0,윤현주,약학과(4),등급,전공능력,,,
2022,2,전필,ADA220,지역약국 필수실무실습 2,1,3.0,"공경록,김승환,박형덕,정문준,정순옥,천부순,최방선",약학과(6),등급,전공능력,,,
2022,2,전필,ADA224,상담지도 II,1,0.0,김만수,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA224,상담지도 II,2,0.0,김성옥,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA224,상담지도 II,3,0.0,박요한,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA224,상담지도 II,4,0.0,박유미,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA224,상담지도 II,5,0.0,박민철,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA224,상담지도 II,6,0.0,조관형,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA224,상담지도 II,7,0.0,천부순,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA224,상담지도 II,8,0.0,민경아,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA224,상담지도 II,9,0.0,윤현주,약학과(3),PASS/FAIL,전공능력,,,
2022,2,전필,ADA226,심화실습 1,1,5.0,"김만수,김성옥,천부순",약학과(6),등급,전공능력,,,
2022,2,전필,ADA226,심화실습 1,2,5.0,"민경아,조관형",약학과(6),등급,전공능력,,,
2022,2,전필,ADA226,심화실습 1,3,5.0,"박요한,박유미",약학과(6),등급,전공능력,,,
2022,2,전필,ADA226,심화실습 1,4,5.0,"박민철,윤현주",약학과(6),등급,전공능력,,,
2022,2,전필,ADA227,심화실습 2,1,5.0,"김만수,김성옥,천부순",약학과(6),등급,전공능력,,,
2022,2,전필,ADA227,심화실습 2,2,5.0,"민경아,조관형",약학과(6),등급,전공능력,,,
2022,2,전필,ADA227,심화실습 2,3,5.0,"박요한,박유미",약학과(6),등급,전공능력,,,
2022,2,전필,ADA227,심화실습 2,4,5.0,"박민철,윤현주",약학과(6),등급,전공능력,,,
2022,2,전선,ADA006,병태생리학,1,4.0,김만수,약학과(3),등급,전공능력,,,
2022,2,전선,ADA033,생물약제학,1,2.0,민경아,약학과(4),등급,전공능력,,,
2022,2,전선,ADA086,약물동태학,1,2.0,민경아,약학과(4),등급,전공능력,,,
2022,2,전선,ADA092,신경생리학,1,1.0,김만수,약학과(3),등급,전공능력,,,
2022,2,전선,ADA109,예방약학 2,1,3.0,박민철,약학과(5),등급,전공능력,,,
2022,2,전선,ADA118,약업경영학,1,2.0,김성옥,약학과(5),등급,전공능력,,,
2022,2,전선,ADA121,동물용의약품학,1,1.0,김만수,약학과(5),등급,전공능력,,,
2022,2,전선,ADA136,심혈관계 질환 약물치료학,1,3.0,천부순,약학과(4),등급,전공능력,,,
2022,2,전선,ADA137,임상약학 해설,1,1.0,천부순,약학과(4),등급,전공능력,,,
2022,2,전선,ADA167,약전 및 품질관리학,1,3.0,조관형,약학과(5),등급,전공능력,,,
2022,2,전선,ADA183,임상생화학,1,1.0,박민철,약학과(4),등급,전공능력,,,
2022,2,전선,ADA196,약품기기분석학,1,3.0,박유미,약학과(3),등급,전공능력,,,
2022,2,전선,ADA197,의약품설계학,1,2.0,박요한,약학과(3),등급,전공능력,,,
2022,2,전선,ADA204,의약정보학과 커뮤니케이션,1,2.0,김성옥,약학과(4),등급,전공능력,,,
2022,2,전선,ADB004,신경생리학,1,1.0,김만수,약학과(1),등급,전공능력,,,
2022,2,전선,ADB005,약학기초생물학2,1,3.0,박민철,약학과(1),등급,전공능력,,,
2022,2,전선,ADB006,약학기초화학2,1,3.0,표아영,약학과(1),등급,전공능력,,,
