entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note
2022,1,1,약학기초생물학1,ADB002,전선,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,1,1,약학기초화학1,ADB003,전선,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,1,1,해부생리학,ADB001,전선,3,2022학년도 교육과정표 1-1의 ADB001 해부생리학(전선 3학점)을 반영. 2023학번의 ADB101 해부생리학1 구성과 다름.,,,,,,,,,,,
2022,1,2,신경생리학,ADB004,전선,1,2022학년도 교육과정표 1-2의 ADB004 신경생리학(전선 1학점)을 반영. 2023학번의 ADB102 해부생리학2 구성과 다름.,,,,,,,,,,,
2022,1,2,약학기초생물학2,ADB005,전선,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,1,2,약학기초화학2,ADB006,전선,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,1,물리약학1,ADB010,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,1,약품생화학1,ADB008,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,1,약학실험1,ADB013,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,1,약학통계,ADB012,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,1,의약품분석학1,ADB011,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,1,병태생리학1,ADB007,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,1,약화학1,ADB009,전선,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,2,물리약학2,ADB019,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,2,약품면역학,ADB021,전필,2,2022학년도 교육과정표 2-2의 ADB021 약품면역학(전필 2학점)을 반영. 업로드된 2023학번 CSV에는 없는 과목.,,,,,,,,,,,
2022,2,2,약품생화학2,ADB016,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,2,약학실험2,ADB022,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,2,약화학2,ADB018,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,2,의약품분석학2,ADB020,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,2,병태생리학2,ADB015,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,2,2,의약분자생물학,ADB017,전선,2,2022학년도 교육과정표 2-2의 ADB017 의약분자생물학(전선 2학점)을 반영. 업로드된 2023학번 CSV에는 없는 과목.,,,,,,,,,,,
2022,3,1,보건사회약학,ADB029,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,1,생약학1,ADB026,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,1,약물학1,ADB024,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,1,약품미생물학,ADB025,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,1,약학실험3,ADB031,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,1,의약품기기분석학1,ADB030,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,1,의약품합성학1,ADB028,전필,2,2022학년도 교육과정표 기준 기존 과목.,2022-SYNTHESIS,N:1,legacy,2024,2024학년도부터 6년제 교육과정에서 의약품합성학1·2가 의약품합성학 단일 과목으로 통합됨.,,,,,,
2022,3,1,제제과학1,ADB027,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,2,감염성미생물학,ADB034,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,2,생약학2,ADB036,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,2,약물학2,ADB033,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,2,약학실험4,ADB041,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,2,의약품기기분석학2,ADB040,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,2,의약품합성학2,ADB038,전필,2,2022학년도 교육과정표 기준 기존 과목.,2022-SYNTHESIS,N:1,legacy,2024,2024학년도부터 6년제 교육과정에서 의약품합성학1·2가 의약품합성학 단일 과목으로 통합됨.,,,,,,
2022,3,2,제제과학2,ADB037,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,2,약사 커뮤니케이션,ADB039,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,3,2,임상면역학,ADB035,전선,1,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,1,감염질환을 위한 항생물질학,ADB045,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,1,예방약학1,ADB044,전필,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,1,제제과학 실험,ADB051,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,2022-PHARMACEUTICS-PRACTICE,1:1,legacy,2025,2022학번이 4학년이던 2025학년도에 제제과학 실험이 제제과학의실습으로 변경되어 개설됨.,,,,,,
2022,4,1,AI 의료약학빅데이터,ADB053,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,2,건강기능식품학,ADB050,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,current,,,,,,1,2025,2022학번 기준 건강기능식품학이 4학년 1학기에서 2025학년도 4학년 2학기로 이동함.
2022,4,1,나노약학,ADB054,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,1,내분비계 및 류마티스 질환 약물치료,ADB063,전선,2,"2022학년도 교육과정표의 과목명 표기를 그대로 반영하고, 6년제 ADB 계열 행의 학정번호·이수구분·학점을 사용.",2022-ENDOCRINE-RHEUMATIC,1:1,legacy,2026,2022학번 기준 내분비계 및 류마티스 질환 약물치료 과목이 4학년 1학기 ADB063에서 5학년 2학기 ADA148로 변경됨.,,,,,,
2022,4,1,무기방사성 의약품학,ADB052,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,1,약용식물학,ADB049,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,1,의약화학1,ADB047,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,current,,,,전선,,,2025,2022학번 기준 의약화학1이 2025학년도 4학년 1학기 개설에서 전선에서 전필로 변경됨.
2022,4,1,임상미생물학,ADB046,전선,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,current,,,2,,,,2025,2022학번 기준 임상미생물학이 2025학년도 4학년 1학기 개설에서 2학점에서 3학점으로 변경됨.
2022,4,1,천연물의약품학,ADB048,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,1,향장품학,ADB043,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,2,감염성 질환 약물치료학,ADB069,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,2022-INFECTIOUS-THERAPY,1:1,legacy,2026,2022학번 기준 감염성 질환 약물치료학이 4학년 2학기 ADB069에서 5학년 2학기 ADA147로 변경됨.,,,,,,
2022,4,2,보건의약관계법규,ADB064,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,2,약학실험5,ADB067,전필,1,2022학년도 교육과정표 4-2의 ADB067 약학실험5(전필 1학점)을 반영. 업로드된 2023학번 CSV에는 없는 과목.,,,,,,,,,,,
2022,4,2,예방약학2,ADB055,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,5,1,의약정보학과 경제성평가,ADB073,전필,2,2022학년도 교육과정표상 ADB073 의약정보학과 경제성평가는 4-2에 배치되어 있어 이를 반영.,,,current,,,,,4,2,2026,2022학번 기준 의약정보학과 경제성평가가 기존 4학년 2학기에서 2026학년도 5학년 1학기로 이동함.
2022,4,2,바이오의약품 분석,ADB060,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,5,2,바이오의약품학,ADB056,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,current,,,,,4,,2026,2022학번 기준 바이오의약품학이 기존 4학년 2학기에서 2026학년도 5학년 2학기로 이동함.
2022,4,2,법과학,ADB061,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,2,생물약제학,ADB057,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,2,약물동태학,ADB058,전선,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,2,약사윤리,ADB065,전선,1,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,1,의약품설계학,ADB066,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,current,,,3,,,2,2025,2022학번 기준 의약품설계학이 4학년 2학기 3학점에서 2025학년도 4학년 1학기 2학점으로 변경됨.
2022,4,2,의약화학2,ADB059,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,4,2,호흡기계 및 소화기계 질환 약물치료학,ADB071,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,2022-RESP-GI-THERAPY,1:1,legacy,2026,2022학번 기준 호흡기계 및 소화기계 질환 약물치료학이 4학년 2학기 ADB071에서 5학년 1학기 ADA145로 변경됨.,,,,,,
2022,5,1,신경정신계 및 신장 질환 약물치료학,ADB062,전필,3,2022학년도 교육과정표 기준 기존 과목.,2022-NEURO-RENAL,1:N,legacy,2024,신경정신계 및 신장 질환 약물치료학이 분리되었으며 2026 현재 정신신경계질환 약물치료학과 신장질환약물치료학이 전필로 운영됨.,,,,,,
2022,5,1,지역약국 예비실무실습,ADB075,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준 으로 학년·학기·학정번호·이수구분·학점을 반영.,2022-COMMUNITY-PRE-PRACTICE,1:1,legacy,2026,2022학번 5학년 개설 기준 지역약국 예비실무실습의 학정번호가 ADB075에서 ADA115로 변경됨.,,,,,,
2022,5,1,항암약물요법,ADB070,전필,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,2022-ANTICANCER,1:1,legacy,2026,2022학번 5학년 개설 기준 기존 ADB070 항암약물요법이 ADB103 항암약물요법1로 변경됨.,,,,,,
2022,5,1,독성학,ADB068,전선,2,2022학년도 교육과정표 기준 기존 과목.,2022-TOXICOLOGY,1:N,legacy,2026,독성학이 2026학년도부터 독성학1과 독성학2로 분리되어 운영됨.,,,,,,
2022,5,1,방제학,ADB078,전선,3,2022학년도 교육과정표상 ADB078 방제학은 5-1에 배치되어 있어 이를 반영.,,,,,,,,,,,
2022,5,1,약물신호전달학,ADB079,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,,,,,,,,,,,
2022,5,1,약업경영학,ADB074,전선,2,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준으로 학년·학기·학정번호·이수구분·학점을 반영.,2022-PHARMACY-MANAGEMENT,1:1,legacy,2026,2022학번 5학년 개설 기준 약업경영학의 학정번호가 ADB074에서 ADA118로 변경됨.,,,,,,
2022,3,2,약학용어,ADB076,전필,1,2022학년도 교육과정표상 ADB076 약학용어는 5-1에 배치되어 있어 이를 반영.,,,current,,,2,전선,5,1,2024,2022학번 기준 약학용어가 5학년 1학기 전선 2학점에서 2024학년도 3학년 2학기 전필 1학점으로 변경됨.
2022,5,1,의약품제조관리학,ADB072,전선,3,2022학년도 교육과정표에서 6년제 ADB 계열 행을 기준 으로 학년·학기·학정번호·이수구분·학점을 반영.,2022-GMP,1:1,legacy,2026,2022학번 5학년 개설 기준 의약품제조관리학의 학정번호가 ADB072에서 ADA171로 변경됨.,,,,,,
2022,5,1,조제학,ADB077,전선,3,2022학년도 교육과정표상 ADB077 조제학은 5-1에 배치되어 있어 이를 반영.,,,,,,,,,,,
